Ek_folder,Ek,Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,265,31995.4,9980.18,True,8.09932e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,270,33518.6,9840.53,True,3.54341e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,275,35121.7,9703.03,True,3.82786e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,280,36807.7,9567.81,True,6.20319e-12,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,285,38579.5,9434.96,True,1.80964e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,290,40440.2,9304.56,True,2.22929e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.1,295,42393.0,9176.64,True,3.19555e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.3,11,1492.4351691694176,-9769.333613232004,True,0.022181,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.3,12,1435.820989442319,-10212.487795235518,True,0.045092,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.3,13,1387.2680866034975,-10634.724239777885,True,0.0475431,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.3,60,1240.768996226519,-20666.4900013012,True,0.414179,ok
Ek3.162277660168379e-7,3.162277660168379e-07,0.3,65,,,False,3471.48,no_onset_in_range
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,245,2670.72,3914.96,True,5.10987e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,250,25361.899999083675,3328.4700003359867,True,3.99945e-06,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,255,13667.400002389022,2948.2300002389024,True,1.10171e-05,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,260,3061.35,4030.28,True,3.03787e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,265,3206.01,4054.23,True,1.1138e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,270,3358.35,4072.16,True,6.56226e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,275,3518.66,4084.69,True,6.28614e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,280,3687.23,4092.38,True,3.94932e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,285,3864.38,4095.73,True,2.54626e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,290,4050.39,4095.19,True,1.18188e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,1.0,295,4245.61,4091.16,True,3.7655e-11,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,245,267.604,538.081,True,1.94624e-12,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,250,1741.58,-87.1749,True,1.38787e-10,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,255,8486.37,0.0,True,0.0,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,260,1432.8700000044532,157.77899999932845,True,3.79346e-08,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,265,321.321,585.134,True,6.53332e-12,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,270,336.591,594.133,True,9.79755e-12,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,275,352.654,602.164,True,1.1794e-12,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,280,1901.9299999771924,178.41899999923976,True,1.83162e-07,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,285,387.278,615.566,True,1.64331e-13,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,290,405.901,621.051,True,3.59636e-12,ok
Ek3.162277660168379e-7,3.162277660168379e-07,10.0,295,425.441,625.795,True,9.34107e-13,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,245,26.7693,55.9113,True,1.11169e-12,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,250,14401.2,0.0,True,0.0,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,255,36001.50000233849,20.06410000968804,True,5.36339e-07,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,260,30.693699996226407,60.083499992452815,True,8.82068e-08,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,265,32.1452,61.2354,True,9.49703e-13,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,270,33.6731,62.279,True,4.7099e-13,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,275,35.2802,63.2208,True,2.35738e-13,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,280,806.6380001418801,25.296200002364667,True,5.11946e-07,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,285,38.7442,64.8224,True,2.04098e-13,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,290,40.6072,65.4933,True,8.18495e-14,ok
Ek3.162277660168379e-7,3.162277660168379e-07,100.0,295,42.5618,66.0842,True,3.93939e-13,ok
Ek1e-6,1e-06,0.1,1,4779.579982580389,-2720.82,True,6.87427e-06,ok
Ek1e-6,1e-06,0.1,2,3210.579585333988,-3979.2298994371313,True,0.000330398,ok
Ek1e-6,1e-06,0.1,3,2570.38753788336,-4933.84753788336,True,0.0044877,ok
Ek1e-6,1e-06,0.1,4,2205.902210683175,-5725.960897088825,True,0.00334076,ok
Ek1e-6,1e-06,0.1,5,1972.5786677989377,-6422.328667798938,True,0.00249669,ok
Ek1e-6,1e-06,0.1,6,1810.7866833547548,-7043.98828305936,True,0.00751627,ok
Ek1e-6,1e-06,0.1,7,1691.9235448948632,-7607.631985141124,True,0.00925646,ok
Ek1e-6,1e-06,0.1,8,1601.6144413303298,-8125.75,True,0.0118691,ok
Ek1e-6,1e-06,0.1,9,1531.6549172469772,-8606.725413765114,True,0.00679714,ok
Ek1e-6,1e-06,0.1,10,1476.848005901964,-9056.151994098036,True,0.00907114,ok
Ek1e-6,1e-06,0.1,11,1434.329387427961,-9477.957824625017,True,167.194,ok
Ek1e-6,1e-06,0.1,12,1399.9347723227154,-9875.623322984697,True,39.5572,ok
Ek1e-6,1e-06,0.1,13,1373.3108807823787,-10250.708807823788,True,0.00886372,ok
Ek1e-6,1e-06,0.1,14,1353.267772953381,-10605.415320959064,True,2.84057,ok
Ek1e-6,1e-06,0.1,15,1338.649049140036,-10941.19560647544,True,0.0356385,ok
Ek1e-6,1e-06,0.1,16,1328.8552186125098,-11260.659234636729,True,3.15373,ok
Ek1e-6,1e-06,0.1,17,1323.2777756107507,-11563.988975569971,True,0.0499663,ok
Ek1e-6,1e-06,0.1,18,1321.4664623516987,-11854.37634376779,True,2.03933,ok
Ek1e-6,1e-06,0.1,19,1322.7930492445882,-12131.93049244588,True,0.104082,ok
Ek1e-6,1e-06,0.1,20,1326.886626986366,-12397.692131820571,True,2.43817,ok
Ek1e-6,1e-06,0.1,21,1333.3709015383542,-12651.318030767085,True,0.0175906,ok
Ek1e-6,1e-06,0.1,22,1341.9925402302044,-12891.945925743345,True,3.80639,ok
Ek1e-6,1e-06,0.1,23,1352.936502893892,-13120.5,True,0.0401244,ok
Ek1e-6,1e-06,0.1,24,1366.0021459326176,-13335.94428790411,True,2.60853,ok
Ek1e-6,1e-06,0.1,25,1381.307401558062,-13539.232377258306,True,1.09732,ok
Ek1e-6,1e-06,0.1,30,1488.6510027723991,-14404.524254910411,True,247.083,ok
